,title,company,location,rating,link,summary,salary,job type,shift & schedule,job description
0,Web Designer & Developer,Azuro Digital,Remote,None Given,https://ca.indeed.com/viewjob?jk=530a4c52e3cd10de,"*Before you apply, please note that you must currently live in Canada and you must have at least 1 full year of web design and development experience.*.","From $70,000 a year",Full-timePermanent,Monday to Friday,"*Before you apply, please note that you must currently live in Canada and you must have at least 1 full year of web design and development experience.
Azuro Digital is one of Canada’s top rated & award winning web design agencies.
We treat our clients like partners, and we go above and beyond to exceed their expectations in every respect. Our websites are built to get found on Google, motivate website visitors to take action, and create a stunning impression of the brand.
To learn more about us, check out our website: https://www.azurodigital.com/
As a web designer at Azuro Digital, you’ll build websites for exciting companies and you’ll execute every stage of the process with tons of creative control. Please note that coding knowledge is NOT required for this position.
We’re looking for a highly motivated team member with strong communication skills, a keen eye for design, and a self-starter mentality.
Responsibilities:
- Design and develop stunning websites on WordPress using Elementor (no coding knowledge required & if you haven’t used WordPress or Elementor before, we’ll teach you)
- Work with the client to create a content outline that will optimize the user experience and conversion rate. From there, the client or a professional copywriter will provide the written content
- Implement basic SEO tasks (no prior SEO experience is required)
- Communicate directly with clients (via email, phone, and Zoom) to customize their website, fulfill their unique needs, and exceed their expectations
- Build and refine the agency’s standard operating procedures (SOPs) to optimize workflows and make the process straightforward for future employees
- Meet with prospective clients (virtually) to learn about their requirements and convince them to choose Azuro Digital if we’re a good fit for their project. Our owner will lead the sales process, but you will sometimes be asked to provide assistance
Requirements:
- At least 1 full year of web design and development experience
- Submit a portfolio of previous websites that you designed and developed. Your portfolio must be in the form of active website URLs (built with any platform)
- Excellent communication skills (written and verbal)
- Motivated to take initiative, grow the company, and become a leader
- Must currently live in Canada
Nice-to-Haves:
- Experience with WordPress (especially the Elementor page builder)
- Experience with custom code and complex plugins
- Logo design experience
- Graphic design experience
- SEO experience
- Copywriting experience
Benefits:
- We’re a small agency and you will be treated like a “partner” rather than an employee. You will make a significant impact and will shape the future trajectory of our company
- Room for professional growth and salary increases
- Work from anywhere in Canada. The position is fully remote
- Health insurance coverage
Compensation:
The starting salary is $70,000 with room for growth.
Job Types: Full-time, Permanent
Salary: From $70,000.00 per year
Benefits:

Casual dress
Dental care
Extended health care
Flexible schedule
Paid time off
Vision care
Work from home

Flexible Language Requirement:

French not required

Schedule:

Monday to Friday

Supplemental pay types:

Bonus pay

Work Location: Remote"
1,Senior Software Engineer,Lockheed Martin Canada,"Hybrid remote in Dartmouth, NS+1 location",4,https://ca.indeed.com/viewjob?jk=ca8a40cf5c80ec49,Software Development work related to Internal Research and Development (IRAD) as well as support to other Naval software programs.Proficient in Java and C++.,None Given,Full-timePermanent,Overtime,"Software Development work related to Internal Research and Development (IRAD) as well as support to other Naval software programs. Software Development includes both new development and maintenance of existing software.
Tasks include:

Mentoring junior developers
Requirements Analysis
Detailed design
Software development in both Java and C++
Unit testing and documentation
Integration and deployment
Problem solving
Working in an Agile team environment.

Required skills, qualifications and experience:

Degree in software engineering, computer science, or equivalent experience/combined education
5-9 years’ of work experience with Java development
Proficient in Java and C++
Eligible for NATO Secret clearance.

Job Types: Full-time, Permanent
Benefits:

Company events
Dental care
Disability insurance
Employee assistance program
Extended health care
Flexible schedule
Life insurance
On-site gym
On-site parking
Paid time off
RRSP match
Tuition reimbursement
Vision care
Wellness program

Flexible Language Requirement:

French not required

Supplemental pay types:

Bonus pay
Overtime pay

Application question(s):

Can you legally work in Canada? If so, please confirm your status: Canadian citizen, Permanent resident or Work permit (please indicate the expiration date and sponsor)
This position requires the ability to obtain a Canadian Controlled Goods Program (CGP) and/or a Canadian government security clearances. As such, how long have you resided in Canada: Less than 5 years or 5-10 years or 10+ years?
Have you spent more than 6 months, consecutively, outside of Canada? If so, please state the date you departed Canada and date you returned to Canada. If not applicable, please indicate N/A.
This position does require you to work a hybrid work model with 2 days in our Halifax (Dartmouth) office. If not based in the Halifax area, are you able to relocate to the Halifax area in the next 3 months?
How years of Java programming experience do you have?

Work Location: Hybrid remote in Dartmouth, NS"
2,Application Developer (Junior),Visual-Eyes Software (SOTH Inc.),"Red Deer, AB",None Given,https://ca.indeed.com/viewjob?jk=1b6c697bc42e8b63,Work with our team and clients to establish new screen designs.Migrate existing areas to new designs that are platform independent.,"$48,934–$53,681 a year",Full-time,8 hour shiftMonday to Friday,"Visual-Eyes is a leading practice management software for the eye care industry in Canada. We have been in business for over 25 years and are looking for a new Application Developer (Junior) to join our Red Deer team. Our Core Purpose is to be ""Partners in the journey to success"" with our clients and what we do best is to ""Streamline Business Processes"".
The Application Developer's starting focus is entry-level development tasks and cross-platform upgrades.
Key Responsibility Areas
Cross Platform Upgrades

Work with our team and clients to establish new screen designs
Migrate existing areas to new designs that are platform independent
Ensure new areas run cleanly and efficiently
Fix bugs related to new designs and technologies

Development

Use Agile SCRUM methodology
Participate in daily stand-ups
Communicate with the Lead Developer to review priorities, clarify needs, and receive approval for which defects or features will be addressed
Assess, analyze, and determine how the development will impact customers
Utilize Test Driven Development

Other

Stay on top of email correspondence
Perform a variety of other projects and assignments as required

Requirements
Experience

Object oriented programming
Development experience
SQL, Delphi, FMX, Git, and/or Bitbucket experience is a great asset

Education

Bachelor of Computer Science or equivalent

Competencies (skills, abilities, knowledge):

High attention to detail / accuracy
Good attitude and work ethic
Communication – verbal and written
Logical analytical skills
Problem solving / troubleshooting
Technical - computer / development skills

What do we offer? An exciting career opportunity, full health benefits, Group RSP's, monthly staff events, a relaxed corporate atmosphere (you can wear jeans to work), and the chance to work with a group of crazy talented people who are driven to do what's best for our clients.
To learn more about us, please visit us at: www.visual-eyes.ca
*This is not a remote role, we require that all candidates are able to work on-site at our Red Deer office.
**We thank all candidates who apply, however, only those considered for an interview will be contacted.
Job Type: Full-time
Salary: $48,934.00-$53,681.00 per year
Benefits:

Casual dress
Company events
Dental care
Disability insurance
Employee assistance program
Extended health care
Life insurance
On-site parking
Paid time off
RRSP match

Schedule:

8 hour shift
Monday to Friday

Ability to commute/relocate:

Red Deer, AB: reliably commute or plan to relocate before starting work (required)

Application question(s):

Why are you interested in this job?

Education:

Bachelor's Degree (required)

Experience:

object oriented programming: 1 year (preferred)

Work Location: In person"
3,Senior Full Stack Developer (DevOps),WayPay Inc,"Hybrid remote in Burlington, ON",None Given,https://ca.indeed.com/viewjob?jk=1e1b332902c221fa,Participate and contribute to design/architecture decisions.Maintenance and troubleshoot of infrastructure and cloud issues.,"$80,000–$110,000 a year",Full-time,8 hour shiftOvertimeMonday to Friday,"Job description
Why We Need You…
We are looking for an individual with an analytical mind that has experience with cloud, and infrastructure maintenance. A strong skill in problem solving and detail oriented. If you are the type of person that enjoys learning, researching new technologies and strives to understand how things work, we want you!
Responsibilities and Duties
As a Senior Full Stack Developer, you will be working as part of a team that is tasked with designing and deploying the next generation of the WayPay/RBC PayEdge platform. You will be working with cutting edge technology and implementing the latest standards and best practices.
What You’ll do

Participate and contribute to design/architecture decisions
Maintenance and troubleshoot of infrastructure and cloud issues
Solve complex problems; both technical and conceptual
Actively research current trends, techniques, technologies and best practices
Participate in team meetings and offer recommendations/ideas on projects
Coordinate with multiple teams for resolving issues

Required Skills

+5 years experience with Infrastructure and Cloud
+3 years experience with MVC frameworks
+2 years of working in AWS and Azure
+1 Kubernetes experience
+1 Solutions Architect experience

Preferred Skills

AWS and Azure Certification desirable

Other skills

Strong problem solving skills with a keen eye for detail
Ability to work in a team as well as individually
Strong time management and organization skills
Excellent communication and interpersonal skills
Flexible, eager, ambitious, and adaptable to change
Eligible to work in Canada (No Sponsorship needed)

Job Types: Full-time, Fixed term contract
Contract length: 12 months
Salary: $80,000.00-$110,000.00 per year
Schedule:

8 hour shift

Supplemental pay types:

Overtime pay

Work Location: Hybrid remote in Burlington, ON L7P 0V1
Job Type: Full-time
Salary: $80,000.00-$110,000.00 per year
Flexible Language Requirement:

French not required

Schedule:

8 hour shift
Monday to Friday

Supplemental pay types:

Overtime pay

Work Location: Hybrid remote in Burlington, ON"
4,Jr. Full Stack JavaScript developer (Ontario Branch),Plexxis Software,"Brampton, ON",4.3,https://ca.indeed.com/viewjob?jk=e82f002130a76602,"We're looking for Junior Full Stack developers to mentor and grow into superstars.Job Type: Full time, permanent.You know some JavaScript basics.","$61,500–$148,500 a year",Full-time,None Given,"
Position Title: Jr. Full Stack JavaScript developer
Reports to: Director, R&D
Job Type: Full time, permanent
Location: Brampton, ON
All successful candidates are required to reside within commuting distance of our Brampton, ON office location. Plexxis does not offer remote work opportunities.
Salary Range: $61,500 - $148,500

Summary
We're looking for Junior Full Stack developers to mentor and grow into superstars.
What You Will Do
As part of the Plexxis web development team, you will…

use react + node/express to create user interfaces and backend API calls as part of the ongoing effort to modernize our primary product offering
learn from more senior team members who direct your day-to-day activities
make meaningful contributions to a product that people rely on in their day-to-day business operations
grow into a strong developer as you build your lifelong career at Plexxis

Requirements

You like people
You are focused
You are supportive
You are driven
You like to work in a team but are fine working on your own when the occasion calls for it
You love coding and you love a good challenge
You know some JavaScript basics
You know some ReactJS basics, AngularJS basics, or VueJS basics
You know some NodeJS basics

Nice to Have

Personal projects that demonstrate your love of development
Developer training of some kind (boot-camp, college, university, etc.)
Typescript
OracleDB or any relational database exposure (sql)

What's it like working at Plexxis?
The dress is casual, but our commitment to quality is not. At Plexxis, the working environment is a social one - built on mutual respect and collaboration. We are a team of extremely hard-working individuals who have a steadfast dedication to delivering amazing results to our clients. As such, we make it a point to provide each of our employees with the tools needed to do their job well, including:

Competitive Salary
Benefits
Company gym
A games room
Paid after hours

Our team genuinely appreciates each other and there is an authentic camaraderie and support network.
About Plexxis Software:
The Plexxis Drywall Enterprise Resource Planning (ERP) software maximizes the profit and efficiency of wall & ceiling contractors through expert consulting and a drywall estimating software that unites digital takeoff, costing, construction management, mobile applications and accounting solutions into a single, sophisticated - yet simple system.
Since 1999, our sole focus has been dedicated to the wall and ceiling trade – a focus that has brought together an extraordinary wealth of knowledge, experience and expertise. From technology engineers, trainers and consultants, we have assembled the “right” people, the “right” product and the “right” service to deliver solutions unmatched in quality and customer focus.
Are you the perfect fit? Do you wish to …

Work with a small, tight-knit group of hard-working, dedicated and fun individuals
Enjoy the atmosphere of a rapidly growing, high energy company with an entrepreneurial spirit
Be on the winning team - poised to emerge as the global leader
Be challenged in the workspace, in the fitness room or even the billiards Café
Lose the stuffy environment (and politics) of “big corporate” and focus on delivering what the competition calls “impossible”

If you're ready for an exciting career with an industry leader, give us a call to explore your future. Growth. Learning. Opportunity.

 Disclaimer for all posting locations: We thank all applicants in advance for their interest but advise that only those selected for an interview will be contacted.   Plexxis is committed to the principles of diversity and inclusion; encouraging applications from all well qualified applicants. Accommodation is available for applicants, including those with disabilities, throughout the recruitment process.   Please Note: If you are offered a position at Plexxis Software, you may be required to agree to a background check.   PLEXXIS IS AN EQUAL OPPORTUNITY EMPLOYER

"
5,Junior Front-End Engineer,Wizebank,"Remote in Vancouver, BC",None Given,https://ca.indeed.com/viewjob?jk=853b5b6dc5982151,"As one of our early engineers, you'll have the opportunity to build entirely new products from scratch and make important technical decisions.",None Given,Full-time,None Given,"

Wizebank has built the industry's first ""Learn Now, Pay Later"" solution specifically designed to help world-class course creators, educators, and coaches sell more effectively. We're trusted by our partners to drive meaningful improvements in their business, and we work tirelessly to do just that.
 Founded in 2021, Wizebank has gone from pre-product to helping our partners generate millions in monthly sales across tens of thousands of customers in a matter of months. We're backed by Rhino Ventures, Panache Ventures, and industry leaders like Greg Smith (CEO, Thinkific), Tim Vipond (Founder, Corporate Finance Institute), Andrew Wilkinson (Co-Founder, Tiny), and Pat Flynn (Founder, Smart Passive Income).
 Wizebank is looking for a talented front-end developer to help us build best-in-class software and financial tools that help online education businesses better manage and grow their education empires. As one of our early engineering hires, you will have the opportunity to take complete, end-to-end ownership of projects and play a critical role in shaping our future products and processes.
 What you'll do?

 You'll work with a small engineering team to build mission-critical tools for course creators.
As one of our early engineers, you'll have the opportunity to build entirely new products from scratch and make important technical decisions.
You'll help build the foundation for Wizebank's engineering standards, tooling, and processes. 

Requirements

 You are comfortable with the ambiguity of an early-stage company. This includes being able to transform product sketches into working technology as well as working in an environment with a fast-paced delivery schedule.
Interested in our core domain - helping solopreneurs succeed by building valuable financial and software tools.
You understand the importance of both speed and quality, and the trade-offs of choosing one over the other.
You have a positive attitude, with high integrity and low ego.

Technical Skills
 We're looking for someone with experience with many, if not all, of:

 1-3+ years of professional software experience building front-end web applications
Experience with modern front-end frameworks, such as: Vue, Angular, React
Experience with HTML and CSS/SASS
Experience with front-end testing, using frameworks, such as: Jest, Mocha, or Chai
Experience working with CSS style and component libraries
Experience building design systems, and componentization

On the front-end we use Vue (migrating from 2 to 3), HTML and SASS; leveraging Tailwind CSS and our in-house built component library (Tasty Bistro) to create a consistent style system that serves four different micro-frontends scoped by business stakeholders.
 We're looking for someone with 3+ years of experience building web applications, who has applicable knowledge with TypeScript/JavaScript, buildingand using a modern web framework such as: Angular, React, Vue, etc.
 Nice to haves are Vue 3 experience,building design systems, and working with Tailwind CSS.
 Traits we value:

 A knack for writing clear and maintainable code.
Considers the pull between readability and playing code golf.
Thinks about systems with clear folder structures and scoping in mind, and cares about leaving the code they touch in a better place for their team.
Cares about the product, the final user experience, and brings this mentality across the stack.
Problem solvers and thinkers who speak up about purpose and value of features and decisions; engaging in questions and discussions, pushing themselves and those around them for the best outcomes for all.

Benefits

 Recent Financing: We closed a large financing in 2022 and we are actively looking to expand our team to deliver best-in-class financial products to our customers at scale.
Strong Traction: We are experiencing rapid growth and your work will directly impact thousands of businesses around the world.
Autonomy & Ownership: You'll have the opportunity to create your own path and own your work.
Impact: You will get to shape the culture of Wizebank. ""The early team you build is the company you build."" Your impact will be immediate and lasting.
Competitive Compensation: We reward great work and want to attract the best talent.
Work From Home Stipend: We cover the essentials including laptops, accessories, and more.
Learning & Development Stipend: We provide a personal development budget covering courses, books, events and more.
Extended Health Care Benefits: Comprehensive benefit plan and wellness spending account.


"
6,Front End Developer - React/ Redux + Node.js,Signify Technology,Remote,None Given,https://ca.indeed.com/viewjob?jk=b52c1d15d2616592,"Though not required, experience with Material UI is highly desired by the client.We are not accepting applications nor able to work with any candidates from…",$70–$128 an hour,Full-time,8 hour shiftMonday to Friday,"3x Front End Developers (React/Redux + Node.js)100% Remote from CanadaLong term Project$65 - $95 USD per hour ($88 - $128 CAD)
Continuing from our success in 2022 Signify have been asked by our client, one of the largest world leaders in entertainment to recruit for 3x Remote Front End Developers to join an established team which also includes a number of our other long term contractors at this client who have recently extended their contracts.
The role will be 100% remote and open to candidates who are currently located and able to work without requiring sponsorship in Canada.
Expediated interview process taking place from Monday 15th May
Requirements:

Strong React/Redux experience
Node.js
Though not required, experience with Material UI is highly desired by the client.

We are not accepting applications nor able to work with any candidates from third party agencies and are not able to provide sponsorship at this time.
Job Type: Full-time
Salary: $70.00-$128.00 per hour
Benefits:

Dental care
Vision care

Schedule:

8 hour shift
Monday to Friday

Application question(s):

Have you worked with Material UI before? If so, during which role and in what capacity?

Experience:

Node.js: 5 years (required)
React: 5 years (required)
Redux: 3 years (preferred)

Work Location: Remote"
7,Software Engineer - Backend,Microsoft,"Vancouver, BC",4.2,https://ca.indeed.com/viewjob?jk=fe622e46d4e97b5c,Microsoft 365 (M365) Intelligent Conversation and Communications Cloud is the platform that powers billions of real-time customer conversations across Microsoft…,None Given,Full-time,None Given,"

  Microsoft 365 (M365) Intelligent Conversation and Communications Cloud is the platform that powers billions of real-time customer conversations across Microsoft’s first-party (Teams, Skype), second-party (Dynamics), and third-party solutions (through Azure Communication Services). The platform enables reliable and high-quality messaging, meeting, and audio/video calling services that work every time, from anywhere, seamlessly across all customer touchpoints. Conversations on our platforms are made more intelligent in real-time, empowering best-in-class productivity tools for the modern workplace where every call, meeting, or chat will make the next one better.
 


 We are the team behind all the messaging scenarios across multiple products, and develop one of the largest scale, business-critical distributed systems in Microsoft. Our services run in 25+ regions, and we process billions of messages a day, enabling hundreds of millions of active enterprise as well as consumer users. The micro services are highly scalable, highly available, and extremely performant in geo-redundant, multi-tenant systems and honor data sovereignty, privacy, security, and compliance. You will have an opportunity to work with a highly collaborative and fun team in a fast-learning environment.
 
 Responsibilities

 Design, develop and operate features for large scale distributed software services and solutions.
 Adhere to modern software engineering practices through design and code reviews.
 Write clean and optimized code, improve test coverage for services, organize and implement integration tests, and resolve problem areas.
 Consider testability, portability/monitoring, reliability, and maintainability, and understand when code is ready to be shared and delivered.
 Gain a working understanding of Microsoft as a business and collaborate with mentors and leaders in order to contribute to cohesive, end-to-end experiences for our users.
 Focus on customer/partner needs through a data driven approach.
 Develop “best-in-class” engineering for our services by ensuring that the services and the components are well-defined and modularized, secure, reliable, diagnosable, actively monitored and reusable.

 Qualifications

 Required/Minimum Qualifications:


 Bachelor's Degree in Computer Science, or related technical discipline.
 2+ years technical engineering experience with any object-oriented coding languages including, but not limited to C++, C#, Java or Python.
   
 OR equivalent experience.



 Preferred qualifications:


 3+ years designing, developing, and operating backend services.
 Ability to communicate technical details clearly across organizational boundaries.
 Experience in DevOps to maintain live services and/or application frameworks.
 Cloud and services experience, with Azure cloud experience highly desirable.
 Excellent analytical skills with systematic and structured approach to software design.
 Passion for building highly scalable, highly reliable services.
 Experience with or exposure to Agile and iterative development processes.


   #IC3
   #M365CORE
 

   Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 


 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
 
"
8,Senior Software Engineer - Full Stack,CARFAX,"London, ON",None Given,https://ca.indeed.com/viewjob?jk=4d7fb7ac3ab973c6,"Time provided for self-directed professional development.Participate in design decisions, including new technology research and prototyping.",None Given,Full-time,None Given,"
Join Team CARFAX as a Sr. Software Engineer - Full Stack
 Isn't it time you bragged about where you work? At CARFAX, we do, every day. We pride ourselves on being mission-focused on helping to grow a brand built on accuracy and integrity. We care deeply about our products and our customers. We’re more than just a company: We help millions of consumers make more-informed decisions every day. We know that our teammates are our most valuable asset, and we value a balanced life while tackling challenging projects in a fast-paced environment. One last thing: Our four-day week continues in Summer 2023!
 What makes our Tech Culture Amazing? We’re passionate about having a creative and innovative environment where our developers collaborate and continuously learn and grow. Autonomy is a key pillar of our tech culture. Our developers have the freedom to bring new tools, frameworks, and ideas to the table knowing their voice will be heard. We’re not afraid of trying new things; if the case is made for a new technology or approach, our developers know it will be tried.
 What makes our development environment unique:

 Hands-on Learning
 Test Driven Development (TDD)
 Pair Programming
 Agile Methodologies
 Time provided for self-directed professional development

 This role has an expectation of 2 days in the London, ON office per week, subject to change based on future business needs.
 As a Senior Software Engineer - Full Stack you will be a part of the Business Technology team, which helps CARFAX build and support products that help millions of people!
 What you'll be doing:

 Work in a dynamic, agile, team environment developing awesome new applications
 Participate in design decisions, including new technology research and prototyping
 Collaborate closely with other engineers, architects, cloud engineers, support teams and other stakeholders
 Innovate new ideas to evolve our applications and processes
 Review and test existing code-bases or technical integrations across various CARFAX projects

 What we're looking for:

 Experience with modern front-end JavaScript libraries (such as ReactJS, Vue, or Angular)
 Experience with Javascript, NodeJS, TypeScript, HTML5 and CSS3
 Object oriented experience with languages such as Java, Kotlin, TypeScript, Golang, Python or C#; we primarily use Java and TypeScript
 Knowledge with client/server architecture and building web services using REST or GraphQL
 Relational and NoSQL database systems such as MySQL, Mongo, DynamoDB or Elasticsearch
 Experience with developing in a cloud environment (AWS preferred)
 Experience in full SDLC development including design, building, testing, deployment, upgrade, and support.
 Ability to provide leadership and mentor engineers through complicated technical challenges
 Ability to work and collaborate effectively in a team environment as well as independently.

 What’s in it for you:

 Competitive compensation, benefits and generous time-off policies
 4-Day summer work weeks and a winter holiday break
 401(k) / DCPP matching
 Annual bonus program
 Casual, dog-friendly, and innovative office spaces.

 Don’t just take our word for it:

 10X Virginia Business Best Places to Work
 9X Washingtonian Great Places to Work
 9X Washington Post Top Workplace
 St. Louis Post-Dispatch Best Places to Work

"
9,BlackBerry QNX - Principal Systems Software Developer (Kernel Team),BlackBerry,"Ottawa, ON",4,https://ca.indeed.com/viewjob?jk=5500236dcc33d30c,"BlackBerry QNX was born in embedded, and provides time-tested and trusted foundation software, including our deterministic micro-kernel real-time operating…",None Given,Full-time,None Given,"


  Worker Sub-Type:
  Regular
 

   Job Description:
 


   BlackBerry® QNX® is a trusted supplier of safe and secure operating systems, hypervisors, frameworks and development tools, and provides expert support and services for building the world’s most critical embedded systems. We are the embedded experts. BlackBerry QNX was born in embedded, and provides time-tested and trusted foundation software, including our deterministic micro-kernel real-time operating system (RTOS), safety-certified products, middleware and security solutions, all purpose-built for embedded systems.
 

   BlackBerry QNX software is trusted by more than 
  
   68% of the Electric Vehicle market by volume
  , 23 of the top 25 EV manufacturers and is running in more than 195 million vehicles globally. Our foundation products have been pre-certified to ISO 26262 ASIL D, and we offer a broad range of board support packages, professional services, AUTOSAR adaptive support and middleware solutions – from acoustic management, to digital cockpits to advanced driving assistance (ADAS) - to accelerate development and help OEMs meet Start of Production (SOP) dates.
 

   Are you interested in working with an elite team that is at the core of everything we do? The Kernel team has several positions available for talented individuals with a mind for details and creative thinking. You will work at the heart of the most reliable and secure operating system in the world. You can contribute directly to an OS that controls systems in everything from automobiles to internet, from medical devices to space systems, from manufacturing to nuclear power plants, and of course, in the world’s most advanced smartphones.
 


   Responsibilities include kernel development, memory management, process management, OS services, key libraries, power management, and performance optimizations. Although an asset, previous kernel development experience is not a requirement. The ideal candidate is an individual with an understanding of how processes work below the covers, has a range of knowledge with multiple operating systems, can solve complex problems, and has the ability to bring new ideas and innovation to the table.
 


   RESPONSIBILITIES
 

 Work on all levels of the core operating system
 Maintain and continually improve the high standards for system reliability, security, and performance
 Provide technical leadership for QNX kernel and core OS research and development.
 Create and document software specifications and designs that address the needs of our customers.
 Conduct reviews with technical peers to ensure that design guidelines are achieved.
 Write code and complete programming according to specifications.
 Create and execute automated unit tests.
 Identify, analyze and resolve complex software inadequacies.
 Provide project estimates for requirement, design, implementation, and test efforts.



   ESSENTIAL SKILLS AND QUALIFICATIONS
 

 Bachelor's degree in Electrical Engineering/Computer Science/Computer Engineering
 Understanding of how user level processes work across each layer of the operating system, including process and thread life cycles, memory management, system calls, and inter-process communication
 Strong C programming skills, especially on resource-constrained devices and platforms
 Knowledge of POSIX based operating system architectures
 Understanding of operating system concepts, including scheduling, concurrency and resource management
 Understanding of multi-cpu, multithreaded architectures and real-time systems
 Strong problem solving and debugging skills
 Excellent communication skills including verbal, written, and interpersonal
 High degree of motivation and ability to work both independently and in a team environment



   ADDITIONAL ASSETS
 

 System-level QNX experience – developing resource managers, build/development tools, etc.
 Experience with performance, memory, and post-mortem analysis
 Experience with SVN and gnu toolset
 Experience in the development of automated testing
 Experience in low-level Assembly and register-level programming with one of more of the following processors; ARM x86, PowerPC
 Expertise in embedded and real-time systems development
 Filesystem expertise
 Compiler expertise
 Technical knowledge of software analysis and design techniques


   #LI-TT1
 


   Scheduled Weekly Hours:
  40
"
